rank	word	reading	part_of_speech	meaning	example	translation
26	として	として	expression	as (i.e. in the role of); for (i.e. from the viewpoint of)	彼はいつも偉大な学者として通っている。	He always passes for a great scholar.
27	日本	にほん	noun	Japan	彼は日本について良く知りません。	He doesn't know much about Japan.
28	自分	じぶん	pronoun	myself; yourself; oneself	彼女は自分の家族問題についてどんどん話しつづけた。	She talked on and on about her family problems.
29	俺	おれ	pronoun	I; me	どうやら、俺は微睡んでいたらしい・・・。	It looks like I must have dozed off.
30	前	まえ	noun	in front (of); before (e.g. a building)	彼ら２００メートル前を歩いていた。	They were walking two hundred meters in advance.
31	気	き	noun	spirit; mind; heart	とてもそんな男を援助する気にはなれない。	I cannot bring myself to help such a man.
32	時間	じかん	noun	time	彼はかなり長い時間待っていた。	He did a good bit of waiting.
33	また	また	adverb	again; once more; once again	先週止めたところからまた読み始めましょう。	Let's resume reading where we left off last week.
34	できる	できる	verb	to be able to do; to be possible; to be permitted (to do)	病気のため登校できなかった。	Illness prevented me from coming to school.
35	話	はなし	noun	talk; speech; chat	彼女の話を聞いて感動して泣いた。	I was moved to tears by her speech.
36	思う	おもう	verb	to think; to consider; to believe	本当に心からこんなことを思った。	This is really from my heart.
37	かも	かも	noun	duck	肩慣らしには丁度いいかも。	It could be just right for a warm up.
38	分	ぶん	noun	part; portion; share	飛行機は３０分遅れて到着した。	The plane came in 30 minutes late.
39	家	いえ	noun	house; residence; dwelling	彼女の家にはいろいろ違った方法で行ける。	You can get to her house in a variety of different ways.
40	後	あと	noun	behind; rear	私の後について繰り返してください。	Please repeat after me.
41	みたい	みたい	suffix	-like; sort of; similar to	氷みたいに冷たい顔しないでくれよ。	Don't be cold as ice.
42	ください	ください	expression	please (give me)	落ち着いたら電話してください。	Call me when you get settled in.
43	たち	たち	suffix	pluralizing suffix (esp. for people and animals; formerly honorific)	兵士たちは決して降伏しないように言われた。	The soldiers were told never to surrender.
44	二	に	number	two; 2	あのレストランは毎日二千食準備している。	That restaurant prepares two thousand meals every day.
45	好き	すき	na-adjective	liking; being fond of; to one's liking	彼女の妹はとても好き。	I like her sister very much.
46	良い	よい	i-adjective	good; excellent; fine	本当によくなっている感じがしますもの。	I do feel on the mend.
47	ここ	ここ	pronoun	here; this place	窓を開けてくれ。ここは暑くてたまらない。	Open the window. It's baking hot in here.
48	大	だい	prefix	large; big; great	二大文明はゆっくりと衰退した。	Two great civilizations slowly fell into decay.
49	性	せい	noun	nature (of a person)	彼らの思想には共通性がある。	There is a community of thought between them.
50	上	うえ	noun	above; over; up	彼の職業上のキャリアは破綻していた。	His professional career was bankrupt.
51	回	かい	counter	counter for occurrences	４回、６回、１２回があります。	You can make 4, 6 or 12 payments.
52	考え	かんがえ	noun	thinking; thought; view	彼の考えがさっぱり分からない。	I can't understand his ideas at all.
53	感じ	かんじ	noun	feeling; sense; impression	どんな感じですか先生？	What's your impression, doctor?
54	数	かず	noun	number; amount	新聞はその演説から数箇所引用していた。	The newspaper extracted several passages from the speech.
55	必要	ひつよう	na-adjective	necessary; needed; essential	必要なだけお持ち帰りください。	Keep as many as you need.
56	そんな	そんな	adjective	such; that sort of; that kind of	そんなことリクエストしていません。	I didn't request you to do that.
57	なんて	なんて	adverb	how ...!; what ...!	そんなに速く走るなんてできません。	Running so fast is impossible for me.
58	来	らい	prefix	next (year, spring, etc.); coming	彼女は数ヶ月来はじめて悲しく思った。	She was sad for the first time in months.
59	世界	せかい	noun	the world; society; the universe	世界は毎年ますます狭くなってきている。	Our world is getting smaller and smaller every year.
60	誰	だれ	pronoun	who	彼は誰みたいな感じ？	Who is he like?
61	ありがとう	ありがとう	interjection	thank you; thanks	こんな風に覚えていて下さってありがとう。	You were thoughtful to remember me in this way.
62	あれ	あれ	pronoun	that; that thing	あれ、そんなに近いとは知りませんでした。	Oh, I didn't know it was that close.
63	よく	よく	adverb	nicely; properly; well	彼女は最近の流行についてよく知っている。	She knows much about recent fashions.
64	第	だい	prefix	prefix for forming ordinal numbers	第３課から始めましょう。	Let's begin with Lesson 3.
65	ああ	ああ	interjection	ah!; oh!; alas!	こう言う人もいれば、ああ言う人もいる。	Some say this, and others say that.
66	ところ	ところ	noun	place; spot; scene	彼女はまさに出発するところである。	She was on the point of leaving.
67	仕事	しごと	noun	work; job; labor	彼女は新しい仕事にすっかり満足している。	She is quite satisfied with her new job.
68	言う	いう	verb	to say; to utter; to declare	率直に言えば、この小説はあまり面白くない。	Frankly speaking, this novel isn't very interesting.
69	市	いち	noun	market; fair	市長は市に対する彼女の貢献に感謝した。	The mayor acknowledged her services to the city.
70	県	けん	noun	prefecture (of Japan); county (of China, Taiwan, Norway, etc.); department (of France)	日本には４３県があります。	There are 43 prefectures in Japan.
71	あなた	あなた	pronoun	you	病気のためあなたを訪問できませんでした。	Illness prevented me from calling on you.
72	こんな	こんな	adjective	this sort of; this kind of; like this	こんな風に覚えていて下さってありがとう。	You were thoughtful to remember me in this way.
73	について	について	expression	about; on; regarding	放課後、その計画について相談しよう。	Let's talk over the plan after school.
74	同じ	おなじ	na-adjective	same; identical; equal	同じことをまたやったら承知しませんよ。	If you do that the again I'll beat the pants off you.
75	問題	もんだい	noun	question (e.g. on a test); problem	彼等はいろいろな問題について話した。	They talked about various subjects.
76	まだ	まだ	adverb	still; as yet; only	彼女の骨折した足はまだ治っていない。	Her broken leg has not healed yet.
77	度	ど	noun	degree (angle, temperature, scale, etc.)	彼の死後、私の人生は１８０度変わった。	After he died, my life was turned upside down.
78	系	けい	noun	system; lineage; group	彼女はアメリカ系である。	She is of American parentage.
79	手	て	noun	hand; arm	どんな手を使ってでも勝ちとってみせる。	I'll win no matter what it takes.
80	くる	くる	verb	to come (spatially or temporally); to approach; to arrive	来てくださればとてもうれしい。	I'd be very glad if you'd come.
81	ゲーム	ゲーム	noun	game	あまり深刻に考えるな。ゲームなんだから。	Don't be so serious. It's only a game.
82	そして	そして	conjunction	and; and then; thus	そして、そこでその男は入ってきました。	And so the man came in.
83	思い	おもい	noun	thought	ご同行くださるなら大変ありがたく思います。	I'd be delighted if you'd come with me.
84	情報	じょうほう	noun	information; news; report	その情報は全く役に立たなかった。	The information was quite useless.
85	くらい	くらい	suffix	approximately; about; around	どんな子供だってそのくらい答えられる。	Any child can answer that.
86	三	さん	number	three; 3	毎日三時間英語を勉強することにしている。	I make it a rule to study English for 3 hours every day.
87	関係	かんけい	noun	relation; relationship; connection	彼らの関係についてはさっぱり分からない。	I am in the dark about the relation between them.
88	くれる	くれる	verb	to give; to let (one) have	来てくれてありがとう。	You are kind to come.
89	会	かい	noun	meeting; assembly; party	会員はみんなその会に出席していました。	All the members were present at the meeting.
90	僕	ぼく	pronoun	I; me	僕は君の言っていることがわかりません。	I can't make out what you're saying.
91	力	ちから	noun	force; strength; might	私の力が及ぶ限り援助します。	I'll help you to the best of my ability.
92	国	くに	noun	country; state	とてもあなたの国について知りたいのです。	I want to know about your country so much.
93	しかし	しかし	conjunction	however; but	しかし、たいへん息子を欲しがっていました。	But he wanted a son very much.
94	今日	きょう	noun	today; this day	明日よりも今日行きたいんだ。	I'd rather go today than tomorrow.
95	本当に	ほんとうに	adverb	really; truly	援助していただいて本当に感謝しています。	I am very grateful to you for your help.
96	ちゃん	ちゃん	suffix	suffix for familiar person	お誕生日おめでとう相葉ちゃん！	Happy birthday, Miss Aiba!
97	以上	いじょう	adjective	not less than ...; ... and over; ... and above	疲れていてこれ以上歩けません。	I'm too tired to walk any further.
98	可能	かのう	na-adjective	possible; potential; practicable	あらゆる可能な手段を選びました。	We tried all means possible.
99	場合	ばあい	noun	case; occasion; situation	来れない場合は、できるだけ早く連絡してください。	If you can't make it, call us as soon as possible.
100	多い	おおい	i-adjective	many; numerous; a lot	多くて１００ドルしか払えません。	We can pay 100 dollars at most.
101	子	こ	noun	child; kid; teenager	その子はまだみつかっていない。	The boy is yet to be found.
102	車	くるま	noun	car; automobile; vehicle	彼の車は小さくてほとんど場所を取らない。	His car is small and takes up little room.
103	金	きん	noun	gold (metal)	彼にその金をすぐ払わせましょう。	He shall pay you the money at once.
104	あの	あの	adjective	that; those; the	昔のあのうたを歌ったことを覚えています。	I remember singing that song long ago.
105	どこ	どこ	pronoun	where; what place	「あの６人はどこ行った？」「エスケープしまた」	Where have those six got to? "They've escaped."
106	男	おとこ	noun	man; male	要するに、その男は信用できない。	The man, in short, is not to be trusted.
107	間	あいだ	noun	space (between); gap; interval	待っている間、録音した音楽でも聞いて下さい。	You can enjoy some recorded music while you wait.
108	出来	でき	noun	workmanship; craftsmanship; execution	新聞に「重版出来」と広告した。	It was advertised as a second edition in the newspapers.
109	すぎ	すぎ	noun	past; after	彼は疲れすぎでそれ以上歩けなかった。	He is too tired to go any farther.
110	人間	にんげん	noun	human being; human; person	彼は人間としてよくできた人です。	He is a man of character.
111	名	な	noun	name; given name	ありがとう、雪名。	Thanks, Yukina.
112	女	おんな	noun	woman; female	あの女はひどく遅れてやって来た。	She came damn late.
113	いく	いく	verb	to go; to move (towards); to head (towards)	「帰ろ」「マックよってかない？」	Let's head back. "Shall we drop by McDonald's?"
114	やる	やる	verb	to do; to undertake; to perform	本当によくやってくれたね。	You really did a good job.
115	位	くらい	noun	throne; crown; (nobleman's) seat	彼は陸軍大佐の位を持っている。	He holds the rank of colonel.
116	次	つぎ	noun	next; following; subsequent	次の新幹線は９時ちょうどに出ます。	The next Shinkansen train leaves at just nine o'clock.
117	すぐ	すぐ	adverb	immediately; at once; right away	それをやってしまったらすぐ助けてあげよう。	As soon as I've finished doing that, I'll help you.
118	ただ	ただ	adjective	ordinary; common; usual	ただ一人待ち続けていた。	I was waiting all alone.
119	女性	じょせい	noun	woman; female	彼はいつも美しい女性と付き合っている。	He is always in company with beautiful women.
120	東京	とうきょう	noun	Tokyo	東京へいらっしゃったときは連絡してください。	Please get in touch with me when you come to Tokyo.
121	意味	いみ	noun	meaning; significance; sense	昨日調べた単語の意味が思い出せないんだ。	I can't remember the meaning of the word that I looked up yesterday.
122	そこ	そこ	pronoun	there (place relatively near listener)	彼はかなり長い時間そこに滞在していた。	He stayed there some time.
123	一緒	いっしょ	noun	(doing) together	そういうわけで、ご一緒できません。	Such being the case, I can not go with you.
124	多く	おおく	noun	many; much; plenty	多く持てば持つほど欲しくなる。	The more you have, the more you want.
125	うち	うち	noun	inside; within	期間内乗り放題チケットを利用しよう。	Let's get an open ticket.
126	君	きみ	pronoun	you; buddy; pal	彼は君に対してとても怒っている。	He's very angry with you.
127	によって	によって	expression	according to; due to; by (means of)	ドアが突然マイクによってあけられました。	The door was suddenly opened by Mike.
128	もっと	もっと	adverb	(some) more; even more; longer	民間企業に対する投資をもっと認めてほしい。	I'm eager to be allowed to do more private-sector investment.
129	使用	しよう	noun	use; application; employment	この車は過去１０年間使用されてきた。	This car has been used for the past ten years.
130	店	みせ	noun	store; shop; establishment	安い店を紹介してください。	Do you know of any inexpensive stores?
131	悪い	わるい	i-adjective	bad; poor; undesirable	私の言葉を悪く取らないでください。	Don't take my words ill.
132	結果	けっか	noun	result; consequence; outcome	結果についてはあまり心配していません。	As regards the result, you need not worry so much.
133	いや	いや	na-adjective	disliking; not wanting; unwilling (to do)	賢い子供は人生や現実について知りたがる。	A bright child is curious about life and reality.
134	しまう	しまう	verb	to finish; to stop; to end	名前をすっかり忘れてしまいました。	I've completely forgotten its name.
135	先	さき	noun	point; tip; end	疲れていて、これ以上先へ歩けません。	I'm too tired to walk any further.
136	写真	しゃしん	noun	photograph; photo; picture	この写真大好き。	I love this picture.
137	参加	さんか	noun	participation; joining; entry	彼らのキャンペーンに参加させてください。	Join me with them in their movement.
138	感	かん	noun	feeling; sensation; emotion	今朝目が覚めたとき、空腹感を覚えた。	When I awoke this morning, I felt hungry.
139	顔	かお	noun	face; visage; looks	氷みたいに冷たい顔しないでくれよ。	Don't be cold as ice.
140	お願い	おねがい	noun	request; favour (to ask); wish	ヒルトン・ホテルまでお願い。	The Hilton Hotel, please.
141	だって	だって	conjunction	after all; because	どんな子供だってそのくらい答えられる。	Any child can answer that.
142	やつ	やつ	noun	fellow; guy; chap	あいつめ明日こそ痛い目にあわせてくれる。	I'll take my revenge on him at all costs tomorrow.
143	会社	かいしゃ	noun	company; corporation; firm	今日、会社間に合った？	Were you on time for work today?
144	声	こえ	noun	voice	大きな声で言って下さい。聞こえません。	Could you speak up? I can't hear you.
145	最近	さいきん	noun	recently; lately; these days	彼女は最近の流行についてよく知っている。	She knows much about recent fashions.
146	用	よう	noun	business; task; errand	研究用として一部屋取っておいて。	Allocate a room for research purposes.
147	違う	ちがう	verb	to differ (from); to be different; to be distinct	違う。うまく言えない。	No. I don't know. It's a lot of things.
148	による	による	expression	by means of; due to; because of	最終成績に関しては、君の最終試験によります。	As to your final grade, that depends on your final examination.
149	十	じゅう	number	ten; 10	このエレベーターは十人乗ることができる。	This elevator is capable of carrying ten persons.
150	少し	すこし	adverb	a little; a bit; a small amount	少し休ませてください。	I want to take a rest.
151	時代	じだい	noun	period; epoch; era	古きよき時代は去り、二度と戻らない。	The good old days have gone, never to return.
152	頭	あたま	noun	head	頭隠して尻隠さず。	Protect yourself at all points.
153	いつも	いつも	adverb	always; all the time; at all times	母はいつも忙しく動きまわっている。	My mother is always on the go.
154	お前	おまえ	pronoun	you	映画を見て泣くなんて、お前らしくない。	It's not like you to cry at movies.
155	アメリカ	アメリカ	noun	(United States of) America; United States; US	チャップリンは永久にアメリカを去った。	Chaplin left America for good.
156	子供	こども	noun	child; children	彼はあまりに子供だから誘惑にかてなかった。	He was so childish that he couldn't resist temptation.
157	心	しん	noun	heart; mind; spirit	心ここに在らざれば聞けども聴こえず。	There are none so deaf as those who won't hear.
158	高	たか	noun	quantity; amount; volume	この工場の生産高は２０％増加している。	The output of this factory has increased by 20%.
159	こちら	こちら	pronoun	this way; this direction	こちらの椅子にお掛けください。	Please sit down on this chair.
160	アニメ	アニメ	noun	animation; animated film; animated cartoon	そのアニメは外国でも放送されています。	The animation is on the air even in other countries.
161	サイト	サイト	noun	site	私、そのサイトにブックマークをつけてるよ。	I have a bookmark on that page.
162	名前	なまえ	noun	name	名前をすっかり忘れてしまいました。	I've completely forgotten its name.
163	無料	むりょう	adjective	free (of charge); gratuitous	もしも無料でしたら１部コピーしてください。	If it is free, please send me a copy.
164	版	はん	noun	edition; version; printing	この版は7,000部に限定されています。	This edition is limited to seven thousand copies.
165	神	かみ	noun	god; deity; divinity	神に対する彼女の信仰はゆるぎない。	Her faith in God is unshaken.
166	超	ちょう	prefix	super-; ultra-; hyper-	超年老いた夫婦が、結婚７５周年を祝して豪華な夕食を食べていた。	A very elderly couple is having an elegant dinner to celebrate their 75th wedding anniversary.
167	つけ	つけ	noun	bill; bill of sale; payment invoice	つけでお願いします。	I want to put this on house charge.
168	下	した	noun	below; down; under	下に署名してください。	Sign at the bottom, please.
169	元	もと	noun	origin; source; beginning	本はもとあった場所に戻しておきなさい。	Put the book back where it was.
170	別	べつ	noun	distinction; difference; discrimination	役にたたないものは全部別にしておきなさい。	Put aside all those which are useless.
171	場所	ばしょ	noun	place; location; spot	その本は見つけた場所に戻しておきなさい。	Put the book back in the same place where you found it.
172	最後	さいご	noun	end; conclusion	これが最後だから。	This is the last time.
173	部	ぶ	noun	department (in an organization, company, etc.); division; bureau	もしも無料でしたら１部コピーしてください。	If it is free, please send me a copy.
174	高い	たかい	i-adjective	high; tall	円はドルに対して高くなった。	The yen rose to the dollar.
175	一番	いちばん	noun	number one; first; first place	母は毎朝いちばん早く起きます。	Mother gets up earliest every morning.
176	大丈夫	だいじょうぶ	na-adjective	safe; secure; sound	大丈夫、心配しないで。	Come on, it'll be all right.
177	町	まち	noun	town; block; neighbourhood	楽しく街を見ましたが、少し疲れました。	We enjoyed seeing the city, but we got a little tired.
178	言葉	ことば	noun	language; dialect	私のことばを注意して聞いてください。	Please note my words.
179	映画	えいが	noun	movie; film; motion picture	映画を見て泣くなんて、お前らしくない。	It's not like you to cry at movies.
180	点	てん	noun	dot; spot; point	知事はその点についてある程度妥協した。	The governor compromised on the subject to a certain degree.
181	社会	しゃかい	noun	society; public; community	社会構造はそれほど変わらない。	The social structure is not much different.
182	方法	ほうほう	noun	method; way; manner	彼女の家にはいろいろ違った方法で行ける。	You can get to her house in a variety of different ways.
183	最初	さいしょ	adjective	beginning; outset; first	私は最初、緊張したが、徐々に落ち着いた。	I was nervous at first, but gradually got more relaxed.
184	理由	りゆう	noun	reason; grounds; pretext	彼の行けない理由がなおはっきりしない。	His reason for not going is still unclear.
185	相手	あいて	noun	companion; partner; company	彼なら相手にとって不足なし。	He is a good match for me.
186	すごい	すごい	i-adjective	terrible; dreadful	真理恵ちゃん、すごいなあ。	That a girl, Marie!
187	とても	とても	adverb	very; awfully; exceedingly	来てくださればとてもうれしい。	I'd be very glad if you'd come.
188	体	からだ	noun	body	彼はいつも健康な身体を持っている。	He always possesses good health.
189	作品	さくひん	noun	work (e.g. book, film, painting, composition); piece; production	この作品は君の前のに比べて進歩している。	This work is an improvement on your last.
190	動画	どうが	noun	video (esp. digital); video clip; clip	この回線の細さじゃ、動画は見られないよ。	This connection is too slow for me to watch movies.
191	型	かた	noun	type; style; model	３４５型は良い状態で受け取りました。	I received your Model 345 in good condition.
192	彼女	かのじょ	pronoun	she; her	彼女自身悪くない。	She is not bad in herself.
193	駅	えき	noun	railway station; train station	次の駅でおります。どうぞおかけ下さい。	I'm getting off at the next stop, please keep your seat.
194	かけ	かけ	noun	credit	長くつき合うには掛けは禁物。	Short accounts make long friends.
195	はず	はず	noun	should (be); bound (to be); expected (to be)	彼女はそれについて知っていたはずがいない。	She can't have known about it.
196	らしい	らしい	i-adjective	seeming ...; appearing ...	遅刻するなんて彼らしくない。	It is unlike him to be late.
197	企業	きぎょう	noun	enterprise; business; company	民間企業に対する投資をもっと認めてほしい。	I'm eager to be allowed to do more private-sector investment.
198	利用	りよう	noun	use; utilization; utilisation	期間内乗り放題チケットを利用しよう。	Let's get an open ticket.
199	存在	そんざい	noun	existence; being; presence	彼らの伝統的な生活模様は、もはや存在しない。	Their traditional life style no longer exists.
200	曲	きょく	noun	composition; piece of music; song	久々に聞いたこの曲。なつかしい。	Hearing this song after so long really brings back the old times.
201	漫画	まんが	noun	cartoon; comic; comic strip	彼の漫画を読むといつも笑ってしまう。	I cannot read his comics without laughing.
202	無理	むり	na-adjective	unreasonable; unnatural; unjustifiable	無理するなって。	Don't overdo it.
203	現在	げんざい	noun	the present; present time; now	そのシステムは現在とてもうまく動いている。	The system is working very well now.
204	わかる	わかる	verb	to understand; to comprehend; to grasp	「もう一度ご確認ください」「分かりました」	Please check again. "Certainly."
205	水	みず	noun	water (esp. cool or cold)	水はほとんど残っていない。	There is little water left.
206	行き	いき	noun	the way there; outbound leg; outbound trip	このバスは、パークリッジ行きですか。	Is this the bus for Park Ridge?
207	なに	なに	pronoun	what	「何を考えてるの？」「別に・・・」	What are you thinking about? "Nothin'..."
208	事件	じけん	noun	event; affair; incident	その事件について話してあげよう。	I will tell of the incident.
209	普通	ふつう	adjective	normal; ordinary; regular	彼女は普通８時間眠ります。	She usually sleeps for eight hours.
210	番	ばん	noun	number (in a series)	いよいよ彼女の番になった。	It was her turn at last.
211	通り	とおり	noun	street; road; avenue	彼の言った通りになった。	His words have come true.
212	女子	じょし	noun	woman; girl	その髪型は女子生徒たちの間で流行した。	The hairstyle has caught on with the girl students.
213	学校	がっこう	noun	school	毎年私は学校用として新しいノートを買う。	Every year, I buy new notebooks for school.
214	得	とく	na-adjective	profit; advantage; benefit	礼儀正しくすると得である。	It pays to be polite.
215	最高	さいこう	adjective	best; supreme; wonderful	最高百ドルまで遣ってよい。	You may spend a maximum of 100 dollars.
216	状態	じょうたい	noun	state; condition; situation	彼の状態は確実に良くなった。	His condition has got steadily better.
217	画像	がぞう	noun	image; picture; portrait	この画像、解像度が低すぎてすごく汚い。	The image quality is really bad - the resolution is so low.
218	発売	はつばい	noun	sale; offering for sale; putting on sale	その新型車は五月に発売される。	The new model car will be brought to market in May.
219	簡単	かんたん	na-adjective	simple; easy; uncomplicated	これらの問題はきわめて簡単に答えられる。	These questions can be answered quite simply.
220	約	やく	adverb	approximately; about	１マイルは約１６００メートルにあたる。	A mile is equal to about 1,600 meters.
221	絶対	ぜったい	adverb	absolutely; definitely; unconditionally	私の言ったことを絶対に忘れるな。	Don't forget what I told you.
222	まあ	まあ	adverb	just (e.g. "just wait here"); come now; now, now	まあ、そう言ってくださって本当にありがとう。	Oh, it's very kind of you to say so.
223	中国	ちゅうごく	noun	China	アメリカ大統領が中国を公式に訪問した。	The President of the U.S. paid a formal visit to China.
224	先生	せんせい	noun	teacher; instructor; master	田辺先生はただいま外出しております。	Mr Tanabe is out now.
225	実際	じっさい	noun	reality; actuality; truth	実際感じたままを話してよい。	You can speak as you actually feel.
226	気持ち	きもち	noun	feeling; sensation; mood	その贈り物は私の気持ちをよく表している。	The gift is expressive of my feelings.
227	確認	かくにん	noun	confirmation; verification; validation	「もう一度ご確認ください」「分かりました」	Please check again. "Certainly."
228	開催	かいさい	noun	holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics)	その都市はフェアを開催している。	The city is hosting the fair.
229	すぎる	すぎる	verb	to pass through; to pass by; to go beyond	疲れすぎていて彼はほとんど歩けなかった。	He was so tired that he could hardly walk.
230	なし	なし	noun	without	馬鹿につける薬なし。	No medicine can cure folly.
231	ほしい	ほしい	i-adjective	wanting (to have); desiring; wishing for	民間企業に対する投資をもっと認めてほしい。	I'm eager to be allowed to do more private-sector investment.
232	まま	まま	noun	as (it is); remaining (in a state); keeping (the same)	おやすみなさい、ママ。	Good night, Mom.
233	今回	こんかい	noun	this time; now	今回だけ大目に見てください。	Let me go just once.
234	全部	ぜんぶ	noun	all; entire; whole	有り金全部無くなってしまった。	All the money was gone.
235	夜	よる	noun	night; evening	夜眠れなくて彼は疲労して顔色が悪かった。	He was pale with fatigue after his sleepless night.
236	テレビ	テレビ	noun	television; TV	どうぞテレビをつけてください。	Please turn on the television.
237	個人	こじん	noun	individual; private person; personal	個人はそれぞれ異なっている。	Each individual is different.
238	教え	おしえ	noun	teaching; instruction; teachings	人々の性格は彼らに与え得る、いかなる教えよりも、その職業に基づく。	The character of men depends more on their occupations than on any teaching we can give them.
239	早く	はやく	adverb	early; soon	遅れないよう早く出発した。	I left early so as not to be late.
240	機	き	noun	chance; opportunity	事務機が書類を次々とプリントアウトしている。	An office machine is cranking out a stream of documents.
241	法	ほう	noun	law; act; principle	新しい法が成立した。	A new law has come into existence.
242	結婚	けっこん	noun	marriage	彼らは１０年間ずっと結婚している。	They have been married for ten years.
243	ずっと	ずっと	adverb	continuously; the whole time; all the way	彼らは１０年間ずっと結婚している。	They have been married for ten years.
244	一つ	ひとつ	number	one	残ったものはなにひとつありませんでした。	There was nothing left over.
245	初めて	はじめて	adverb	for the first time	昨日はじめてその事故について聞きました。	I heard about the accident for the first time yesterday.
246	友達	ともだち	noun	friend; companion	友達もたくさんできました。	I've made lots of friends.
247	場	ば	noun	place; spot; space	その計画はこの場にふさわしいだろうか。	Will the plan meet the need?
248	生活	せいかつ	noun	life; living	こんな退屈な生活には我慢できない。	I can't settle for this boring life.
249	色	いろ	noun	colour; color; hue	君の色に対する好みは感心しない。	I don't like your taste in color.
250	かなり	かなり	adverb	considerably; fairly; quite	彼はかなり長い時間待っていた。	He did a good bit of waiting.
251	どんな	どんな	adjective	what kind of; what sort of; what	どんな子供だってそのくらい答えられる。	Any child can answer that.
252	にて	にて	conjunction	at; in	茶碗を投げれば綿にて受けよ。	A soft answer is a specific cure of anger.
253	人気	にんき	noun	popularity; public favor	テレビによって以前の映画人気が奪われた。	Television has robbed cinema of its former popularity.
254	公開	こうかい	noun	opening to the public; making available to the public; exhibiting	その映画はまもなく公開される。	That movie will be released by and by.
255	区	く	noun	ward; borough; city (in Tokyo)	彼はチェスター区選出の議員に当選した。	He got in for Chester.
256	新しい	あたらしい	i-adjective	new; novel; fresh	彼の新しいレコードは、よく売れる。	His new record sells well.
257	理解	りかい	noun	understanding; comprehension; appreciation	どうしてもそれが理解できない。	I cannot understand it for the life of me.
258	こう	こう	adverb	in this way; like this; so	こうしたら君のプラスになる。	If you do that, it will help you.
259	さらに	さらに	adverb	furthermore; again; after all	一緒に協力して、さらに頑張ろう。	Let's work together to do our best.
260	なぜ	なぜ	adverb	why; how; for what reason	イージス衝突 — なぜ避けられなかったか。	The Aegis collision - why couldn't it have been avoided?
261	内容	ないよう	noun	contents; content; substance	ホームページの人気は内容次第。	The popularity of a web site depends on its content.
262	大阪	おおさか	noun	Osaka (city, prefecture)	ただちに大阪に行ってもらいたい。	I want you to go to Osaka at once.
263	対応	たいおう	noun	correspondence (to); equivalence	彼はその事態に迅速に対応した。	He promptly coped with the situation.
264	放送	ほうそう	noun	broadcasting; broadcast; program	ＦＥＮは国内ニュースを放送していない。	FEN does not carry domestic news.
265	活動	かつどう	noun	activity (of a person, organization, animal, volcano, etc.); action; operation	そのグループは現在盛んに活動している。	That group is presently very active.
266	状況	じょうきょう	noun	state of affairs; situation; conditions	今日の政治状況はそれほど安定していない。	The current political situation is not very stable.
