#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜が	〜が	N5	subject marker	Noun + が	Marks the grammatical subject, and the object of 好き, 嫌い, 上手, ほしい and potential verbs.		<div class="ex"><div class="jp"><ruby>猫<rt>ねこ</rt></ruby>が<ruby>好<rt>す</rt></ruby>きです。</div><div class="en">I like cats.</div></div>	jlpt::N5
〜が (but)	〜が (but)	N5	but / however	Sentence + が + Sentence	Connects contrasting clauses, a little more formal than けど. Also used to soften an opening remark.		<div class="ex"><div class="jp"><ruby>日本語<rt>にほんご</rt></ruby>は<ruby>難<rt>むずか</rt></ruby>しいですが、<ruby>面白<rt>おもしろ</rt></ruby>いです。</div><div class="en">Japanese is difficult, but interesting.</div></div><div class="ex"><div class="jp"><ruby>失礼<rt>しつれい</rt></ruby>ですが、あなたは<ruby>英語<rt>えいご</rt></ruby>を<ruby>話<rt>はな</rt></ruby>されますか。</div><div class="en">Excuse me. Do you speak English?</div></div><div class="ex"><div class="jp"><ruby>失礼<rt>しつれい</rt></ruby>ですが、もう<ruby>一度<rt>いちど</rt></ruby>おっしゃって<ruby>下<rt>くだ</rt></ruby>さい。</div><div class="en">I beg your pardon?</div></div><div class="ex"><div class="jp"><ruby>失礼<rt>しつれい</rt></ruby>ですが、<ruby>窓<rt>まど</rt></ruby>をあけてもよろしいですか。</div><div class="en">Excuse me, but may I open the window?</div></div>	jlpt::N5
〜がいちばん	〜がいちばん	N5	~ is the most / best	Noun + がいちばん + adjective	The superlative. Scope is often set with 〜の中で.		<div class="ex"><div class="jp">この<ruby>中<rt>なか</rt></ruby>でこれが<ruby>一番<rt>いちばん</rt></ruby><ruby>安<rt>やす</rt></ruby>いです。</div><div class="en">Among these, this is the cheapest.</div></div>	jlpt::N5
〜がほしい	〜がほしい	N5	want (a thing)	Noun + がほしい	Desire for an object, not an action. Like たい, it describes the speaker; for others use ほしがっている.		<div class="ex"><div class="jp"><ruby>新<rt>あたら</rt></ruby>しい<ruby>車<rt>くるま</rt></ruby>がほしいです。</div><div class="en">I want a new car.</div></div><div class="ex"><div class="jp">これらのリンゴを<ruby>運<rt>はこ</rt></ruby>ぶためのカゴがほしい。</div><div class="en">I want a basket in which to carry these apples.</div></div><div class="ex"><div class="jp">その<ruby>本<rt>ほん</rt></ruby>がほしい<ruby>人<rt>ひと</rt></ruby>には<ruby>誰<rt>だれ</rt></ruby>にでもあげて<ruby>良<rt>よ</rt></ruby>い。</div><div class="en">You may give the book to whoever wants it.</div></div><div class="ex"><div class="jp">どうしてそんなに<ruby>古<rt>ふる</rt></ruby>い<ruby>車<rt>くるま</rt></ruby>がほしいのですか。</div><div class="en">What do you want such an old car for?</div></div>	jlpt::N5
〜が上手・下手	〜が<ruby>上手<rt>じょうず</rt></ruby>・<ruby>下手<rt>へた</rt></ruby>	N5	good at / bad at	Noun + が + 上手 / 下手	Takes が, not を. 上手 is not normally used about oneself; prefer 得意.		<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>料理<rt>りょうり</rt></ruby>が<ruby>上手<rt>じょうず</rt></ruby>です。</div><div class="en">He is good at cooking.</div></div>	jlpt::N5
〜が好き・嫌い	〜が<ruby>好<rt>す</rt></ruby>き・<ruby>嫌<rt>きら</rt></ruby>い	N5	like / dislike	Noun + が + 好き / 嫌い	Both are な-adjectives and take が for their object.		<div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>は<ruby>犬<rt>いぬ</rt></ruby>が<ruby>好<rt>す</rt></ruby>きです。</div><div class="en">I like dogs.</div></div>	jlpt::N5
〜くて	〜くて	N5	~ and (joining い-adjectives)	い-adjective (drop い) + くて	Links adjectives or clauses. The listed qualities should agree in tone — do not mix praise and criticism.		<div class="ex"><div class="jp">この<ruby>部屋<rt>へや</rt></ruby>は<ruby>広<rt>ひろ</rt></ruby>くて<ruby>明<rt>あか</rt></ruby>るいです。</div><div class="en">This room is spacious and bright.</div></div>	jlpt::N5
〜くない	〜くない	N5	not ~ (い-adjective negative)	い-adjective (drop い) + くない	いい is irregular: よくない. Polite form adds です.		<div class="ex"><div class="jp">この<ruby>本<rt>ほん</rt></ruby>は<ruby>高<rt>たか</rt></ruby>くないです。</div><div class="en">This book is not expensive.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>たちはもう<ruby>行<rt>い</rt></ruby>った<ruby>方<rt>ほう</rt></ruby>がよくないですか。</div><div class="en">Hadn&#x27;t we better go now?</div></div><div class="ex"><div class="jp"><ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>に<ruby>行<rt>い</rt></ruby>きたくないですか。</div><div class="en">Don&#x27;t you feel like going to the movies?</div></div><div class="ex"><div class="jp"><ruby>最近<rt>さいきん</rt></ruby>、<ruby>社員<rt>しゃいん</rt></ruby>の<ruby>入<rt>い</rt></ruby>れ<ruby>替<rt>か</rt></ruby>わりが<ruby>激<rt>はげ</rt></ruby>しくないですか。</div><div class="en">The turnover at my company is really speeding up lately.</div></div>	jlpt::N5
〜くなる	〜くなる	N5	become ~ (い-adjective)	い-adjective (drop い) + くなる	Marks a change of state. な-adjectives and nouns take になる instead.		<div class="ex"><div class="jp"><ruby>寒<rt>さむ</rt></ruby>くなりました。</div><div class="en">It has gotten cold.</div></div>	jlpt::N5
〜ぐらい	〜ぐらい	N5	about / approximately	Quantity + ぐらい / くらい	Approximates amounts and durations. ごろ is used instead for points in time.		<div class="ex"><div class="jp"><ruby>一時<rt>いちじ</rt></ruby><ruby>間<rt>ま</rt></ruby>ぐらい<ruby>待<rt>ま</rt></ruby>ちました。</div><div class="en">I waited about an hour.</div></div>	jlpt::N5
〜ここ・そこ・あそこ	〜ここ・そこ・あそこ	N5	here / there / over there	Standalone place word	The place series. Polite alternatives: こちら, そちら, あちら.		<div class="ex"><div class="jp">ここは<ruby>駅<rt>えき</rt></ruby>です。</div><div class="en">This place is the station.</div></div>	jlpt::N5
〜ことができます	〜ことができます	N5	can ~ / be able to ~	Verb dictionary form + ことができる	Ability or possibility. The potential verb form (読める) is shorter and more common in speech.		<div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>は<ruby>日本語<rt>にほんご</rt></ruby>を<ruby>話<rt>はな</rt></ruby>すことができます。</div><div class="en">I can speak Japanese.</div></div><div class="ex"><div class="jp">あなたは<ruby>目<rt>め</rt></ruby>を<ruby>閉<rt>と</rt></ruby>じて<ruby>歩<rt>ある</rt></ruby>くことができますか。</div><div class="en">Can you walk with your eyes closed?</div></div><div class="ex"><div class="jp">あなたは<ruby>誰<rt>だれ</rt></ruby>とでも<ruby>自由<rt>じゆう</rt></ruby>に<ruby>話<rt>はな</rt></ruby>すことができる。</div><div class="en">You are free to talk with anyone.</div></div><div class="ex"><div class="jp">このエレベーターは<ruby>十人<rt>じゅうにん</rt></ruby><ruby>乗<rt>の</rt></ruby>ることができる。</div><div class="en">This elevator is capable of carrying ten persons.</div></div>	jlpt::N5
〜この・その・あの	〜この・その・あの	N5	this ~ / that ~ / that ~ over there	この + Noun	Always attach to a noun. Never say このは.		<div class="ex"><div class="jp">この<ruby>本<rt>ほん</rt></ruby>は<ruby>面白<rt>おもしろ</rt></ruby>いです。</div><div class="en">This book is interesting.</div></div>	jlpt::N5
〜これ・それ・あれ	〜これ・それ・あれ	N5	this one / that one / that one over there	Standalone pronoun	これ is near the speaker, それ near the listener, あれ away from both. These stand alone; この etc. modify a noun.		<div class="ex"><div class="jp">これは<ruby>何<rt>なに</rt></ruby>ですか。</div><div class="en">What is this?</div></div>	jlpt::N5
〜ごろ	〜ごろ	N5	around (a point in time)	Time + ごろ	For clock times and dates. Use ぐらい for durations and quantities.		<div class="ex"><div class="jp"><ruby>三時<rt>さんじ</rt></ruby>ごろ<ruby>来<rt>き</rt></ruby>てください。</div><div class="en">Please come around three o&#x27;clock.</div></div>	jlpt::N5
〜しか〜ない	〜しか〜ない	N5	only ~ (and that&#x27;s not enough)	Noun + しか + negative	Always with a negative verb, carrying a sense of shortage.	だけ is neutral; しか implies the amount falls short.	<div class="ex"><div class="jp"><ruby>千<rt>せん</rt></ruby><ruby>円<rt>えん</rt></ruby>しかありません。</div><div class="en">I only have a thousand yen.</div></div><div class="ex"><div class="jp"><ruby>一人<rt>ひとり</rt></ruby>しか<ruby>来<rt>こ</rt></ruby>なかった。</div><div class="en">Only one person came.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>たちには<ruby>水<rt>みず</rt></ruby>が<ruby>少<rt>すこ</rt></ruby>ししかありませんでした。</div><div class="en">We had little water.</div></div><div class="ex"><div class="jp">これをお<ruby>任<rt>まか</rt></ruby>せできるのは、あなたしかありません。</div><div class="en">There is none other than you to whom I can leave this.</div></div>	jlpt::N5
〜ずつ	〜ずつ	N5	each / at a time	Quantity + ずつ	Distributes an amount evenly: 一つずつ, 少しずつ.		<div class="ex"><div class="jp"><ruby>一人<rt>ひとり</rt></ruby>に<ruby>二<rt>ふた</rt></ruby>つずつ<ruby>配<rt>くば</rt></ruby>ります。</div><div class="en">I&#x27;ll hand out two to each person.</div></div>	jlpt::N5
〜ぜんぜん〜ない	〜ぜんぜん〜ない	N5	not at all	ぜんぜん + negative	A complete negative. In casual speech it sometimes appears with positives, but avoid that in exams.		<div class="ex"><div class="jp"><ruby>全然<rt>ぜんぜん</rt></ruby><ruby>分<rt>わ</rt></ruby>かりません。</div><div class="en">I don&#x27;t understand at all.</div></div>	jlpt::N5
〜たいです	〜たいです	N5	want to ~	Verb ます-stem + たい	Conjugates as an い-adjective. The object may take が or を. Only for the speaker&#x27;s own desire; use 〜たがっている for others.		<div class="ex"><div class="jp"><ruby>日本<rt>にっぽん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きたいです。</div><div class="en">I want to go to Japan.</div></div><div class="ex"><div class="jp">とても<ruby>良<rt>よ</rt></ruby>かったです。また<ruby>行<rt>い</rt></ruby>きたいですね。</div><div class="en">It was very exciting! I&#x27;d like to go again.</div></div><div class="ex"><div class="jp">メアリーは<ruby>私<rt>わたし</rt></ruby>が<ruby>好<rt>す</rt></ruby>きではないみたいですね。</div><div class="en">Mary scarcely seems to care for me, does she?</div></div><div class="ex"><div class="jp">あなたは<ruby>私<rt>わたし</rt></ruby>たちの<ruby>英語<rt>えいご</rt></ruby>の<ruby>授業<rt>じゅぎょう</rt></ruby>を<ruby>見<rt>み</rt></ruby>たいですか。</div><div class="en">Do you want to see our English lesson?</div></div>	jlpt::N5
〜たことがあります	〜たことがあります	N5	have ~ed before (experience)	Verb た-form + ことがある	Past experience, not a simple past action. Often paired with 一度, 二回 and similar.		<div class="ex"><div class="jp"><ruby>日本<rt>にっぽん</rt></ruby>に<ruby>行<rt>い</rt></ruby>ったことがあります。</div><div class="en">I have been to Japan before.</div></div><div class="ex"><div class="jp">あなたに<ruby>以前<rt>いぜん</rt></ruby><ruby>会<rt>あ</rt></ruby>ったことがあるように<ruby>思<rt>おも</rt></ruby>う。</div><div class="en">I fancy we&#x27;ve met before.</div></div><div class="ex"><div class="jp">あなたは<ruby>今<rt>いま</rt></ruby>まで<ruby>鯨<rt>くじら</rt></ruby>を<ruby>見<rt>み</rt></ruby>たことがありますか。</div><div class="en">Have you ever seen a whale?</div></div><div class="ex"><div class="jp">あなたは<ruby>北海道<rt>ほっかいどう</rt></ruby>に<ruby>行<rt>い</rt></ruby>ったことがありますか。</div><div class="en">Have you been to Hokkaido?</div></div>	jlpt::N5
〜たり〜たりします	〜たり〜たりします	N5	do things like ~ and ~	Verb た-form + り + Verb た-form + り + する	Lists representative actions without implying order or completeness.		<div class="ex"><div class="jp"><ruby>日曜日<rt>にちようび</rt></ruby>は<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んだり、<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>たりします。</div><div class="en">On Sundays I read books, watch movies and so on.</div></div>	jlpt::N5
〜だけ	〜だけ	N5	only / just	Noun / Verb plain form + だけ	Limits quantity or scope neutrally. しか〜ない carries a stronger sense of insufficiency.		<div class="ex"><div class="jp"><ruby>水<rt>みず</rt></ruby>だけ<ruby>飲<rt>の</rt></ruby>みました。</div><div class="en">I drank only water.</div></div>	jlpt::N5
〜だれ	〜だれ	N5	who	だれ + が / の / に	どなた is the polite form. だれか is &quot;someone&quot;, だれも with a negative is &quot;no one&quot;.		<div class="ex"><div class="jp">あの<ruby>人<rt>ひと</rt></ruby>はだれですか。</div><div class="en">Who is that person?</div></div>	jlpt::N5
〜ちょっと	〜ちょっと	N5	a little / a bit	ちょっと + adjective / verb	Also softens refusals: ちょっと… on its own politely declines.		<div class="ex"><div class="jp">ちょっと<ruby>待<rt>ま</rt></ruby>ってください。</div><div class="en">Please wait a moment.</div></div><div class="ex"><div class="jp">お<ruby>昼<rt>ひる</rt></ruby>からちょっとドライブに<ruby>行<rt>い</rt></ruby>きましょう。</div><div class="en">Let&#x27;s take a short drive this afternoon.</div></div><div class="ex"><div class="jp">ここでちょっと<ruby>待<rt>ま</rt></ruby>っていてくださいますか。</div><div class="en">Could you wait here for the moment?</div></div><div class="ex"><div class="jp">このあたりでちょっと<ruby>待<rt>ま</rt></ruby>っていてください。</div><div class="en">Please wait around for a while.</div></div>	jlpt::N5
〜ています	〜ています	N5	is ~ing / is in a state	Verb て-form + いる	Two readings: an action in progress (本を読んでいる), or a resulting state (結婚している, 知っている).		<div class="ex"><div class="jp"><ruby>今<rt>いま</rt></ruby>、<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んでいます。</div><div class="en">I am reading a book now.</div></div><div class="ex"><div class="jp">「<ruby>何<rt>なに</rt></ruby>かご<ruby>用<rt>よう</rt></ruby>は？」「ドレスを<ruby>探<rt>さが</rt></ruby>しています」</div><div class="en">May I help you? &quot;Yes, I&#x27;m looking for a dress.&quot;</div></div><div class="ex"><div class="jp">あなたが<ruby>先生<rt>せんせい</rt></ruby>だということを<ruby>知<rt>し</rt></ruby>っています。</div><div class="en">I know that you are a teacher.</div></div><div class="ex"><div class="jp">あなたが<ruby>早<rt>はや</rt></ruby>くよくなるように<ruby>祈<rt>いの</rt></ruby>っています。</div><div class="en">We are hoping for your quick recovery.</div></div>	jlpt::N5
〜ておく	〜ておく	N5	do ~ in advance / leave as is	Verb て-form + おく	Preparation for a later need. Contracts to 〜とく in speech.	ておく prepares; てある describes the resulting state.	<div class="ex"><div class="jp"><ruby>会議<rt>かいぎ</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>に<ruby>資料<rt>しりょう</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んでおきます。</div><div class="en">I&#x27;ll read the documents before the meeting.</div></div><div class="ex"><div class="jp">ビールを<ruby>冷<rt>ひ</rt></ruby>やしておいた。</div><div class="en">I chilled the beer in advance.</div></div><div class="ex"><div class="jp">こちらからシーガル<ruby>先生<rt>せんせい</rt></ruby>に<ruby>電話<rt>でんわ</rt></ruby>しておきます。</div><div class="en">We&#x27;ll call Dr. Shiegal for you.</div></div><div class="ex"><div class="jp">あなたの<ruby>時計<rt>とけい</rt></ruby>は<ruby>明日<rt>あした</rt></ruby>までには<ruby>直<rt>なお</rt></ruby>しておきますよ。</div><div class="en">I will have repaired your watch by tomorrow.</div></div>	jlpt::N5
〜てから	〜てから	N5	after ~ing	Verb て-form + から	Emphasises sequence: the second action follows the first.		<div class="ex"><div class="jp"><ruby>宿題<rt>しゅくだい</rt></ruby>をしてから、テレビを<ruby>見<rt>み</rt></ruby>ます。</div><div class="en">After I do my homework, I watch TV.</div></div>	jlpt::N5
〜てください	〜てください	N5	please do ~	Verb て-form + ください	A request or instruction. Negative: 〜ないでください.		<div class="ex"><div class="jp">ちょっと<ruby>待<rt>ま</rt></ruby>ってください。</div><div class="en">Please wait a moment.</div></div><div class="ex"><div class="jp">あなたが<ruby>町<rt>まち</rt></ruby>に<ruby>来<rt>き</rt></ruby>たらすぐに<ruby>訪<rt>たず</rt></ruby>ねてください。</div><div class="en">Please visit as soon as you get into town.</div></div><div class="ex"><div class="jp">あなたが<ruby>落<rt>お</rt></ruby>ち<ruby>着<rt>つ</rt></ruby>いたら<ruby>電話<rt>でんわ</rt></ruby>をしてください。</div><div class="en">Please phone me when you have settled down.</div></div><div class="ex"><div class="jp">あなたの<ruby>後<rt>のち</rt></ruby>でコショウを<ruby>使<rt>つか</rt></ruby>わせてください。</div><div class="en">After you with the pepper.</div></div>	jlpt::N5
〜てくださいませんか	〜てくださいませんか	N5	could you please ~?	Verb て-form + くださいませんか	A politer request than てください.		<div class="ex"><div class="jp">もう<ruby>一度<rt>いちど</rt></ruby><ruby>説明<rt>せつめい</rt></ruby>してくださいませんか。</div><div class="en">Could you please explain once more?</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>を<ruby>門<rt>もん</rt></ruby>まで<ruby>連<rt>つ</rt></ruby>れて<ruby>行<rt>い</rt></ruby>ってくださいませんか。</div><div class="en">Will you take me to the gate?</div></div><div class="ex"><div class="jp">「<ruby>手伝<rt>てつだ</rt></ruby>ってくださいませんか」「<ruby>喜<rt>よろこ</rt></ruby>んで」</div><div class="en">Will you help me? &quot;I&#x27;ll be glad to.&quot;</div></div><div class="ex"><div class="jp">あなたの<ruby>辞書<rt>じしょ</rt></ruby>を<ruby>貸<rt>か</rt></ruby>してくださいませんか。</div><div class="en">Will you lend me your dictionary?</div></div>	jlpt::N5
〜てしまう	〜てしまう	N5	end up ~ing / do completely	Verb て-form + しまう	Completion, or regret at an unintended result. Contracts to ちゃう.	With regret it pairs with unintentional verbs; with completion, with 全部 and similar.	<div class="ex"><div class="jp"><ruby>電車<rt>でんしゃ</rt></ruby>に<ruby>傘<rt>かさ</rt></ruby>を<ruby>忘<rt>わす</rt></ruby>れてしまいました。</div><div class="en">I left my umbrella on the train.</div></div><div class="ex"><div class="jp"><ruby>本<rt>ほん</rt></ruby>を<ruby>全部<rt>ぜんぶ</rt></ruby><ruby>読<rt>よ</rt></ruby>んでしまった。</div><div class="en">I finished reading the whole book.</div></div><div class="ex"><div class="jp">このミルクは<ruby>少<rt>すこ</rt></ruby>し<ruby>古<rt>ふる</rt></ruby>くなってしまいました。</div><div class="en">The milk&#x27;s a bit off.</div></div><div class="ex"><div class="jp"><ruby>娘<rt>むすめ</rt></ruby>がマッチで<ruby>指<rt>ゆび</rt></ruby>をやけどしてしまいました。</div><div class="en">Our daughter burned her finger with a match.</div></div>	jlpt::N5
〜てはいけません	〜てはいけません	N5	must not ~	Verb て-form + はいけません	A firm prohibition, typical of rules and signs. Casual contraction: 〜ちゃいけない.		<div class="ex"><div class="jp">ここでたばこを<ruby>吸<rt>す</rt></ruby>ってはいけません。</div><div class="en">You must not smoke here.</div></div><div class="ex"><div class="jp">お<ruby>客様<rt>きゃくさま</rt></ruby>を<ruby>外<rt>そと</rt></ruby>に<ruby>待<rt>ま</rt></ruby>たせておいてはいけないよ。</div><div class="en">You mustn&#x27;t keep your guest waiting outside.</div></div><div class="ex"><div class="jp">その<ruby>問題<rt>もんだい</rt></ruby>をいいかげんに<ruby>扱<rt>あつか</rt></ruby>ってはいけない。</div><div class="en">Don&#x27;t trifle with the matter.</div></div><div class="ex"><div class="jp">その<ruby>授業<rt>じゅぎょう</rt></ruby><ruby>中<rt>ちゅう</rt></ruby>は<ruby>日本語<rt>にほんご</rt></ruby>を<ruby>話<rt>はな</rt></ruby>してはいけません。</div><div class="en">You must not speak Japanese during the class.</div></div>	jlpt::N5
〜てみる	〜てみる	N5	try doing ~	Verb て-form + みる	Do it to find out what happens. Written in kana.	てみる is trying out; 〜(よ)うとする is attempting.	<div class="ex"><div class="jp"><ruby>新<rt>あたら</rt></ruby>しい<ruby>店<rt>みせ</rt></ruby>に<ruby>行<rt>い</rt></ruby>ってみます。</div><div class="en">I&#x27;ll try going to the new shop.</div></div><div class="ex"><div class="jp">この<ruby>服<rt>ふく</rt></ruby>を<ruby>着<rt>き</rt></ruby>てみてもいいですか。</div><div class="en">May I try on these clothes?</div></div><div class="ex"><div class="jp">では<ruby>明日<rt>あした</rt></ruby>その<ruby>事<rt>こと</rt></ruby>について<ruby>彼<rt>かれ</rt></ruby>に<ruby>尋<rt>たず</rt></ruby>ねてみます。</div><div class="en">I will ask him about it tomorrow, then.</div></div><div class="ex"><div class="jp">あなたがたのうちどちらが<ruby>先<rt>さき</rt></ruby>にやってみますか。</div><div class="en">Which of you will try first?</div></div>	jlpt::N5
